borough,sex,age,2011,2012,2013,2014,2015,2016,2017,2018
City of London,female,0,38.31,29.87,28.32,30.44,23.59,38.5,35.15,24.54
City of London,female,1,35.11,40.9,23.46,25.26,23.34,17.96,39.22,32.76
City of London,female,2,28.66,31.63,34.29,18.42,21.01,24.6,18.84,25.24
City of London,female,3,18.4,31.35,26.62,37.18,16.88,17.09,25.95,17.55
City of London,female,4,20.96,22.04,24.01,27.39,30.94,19.8,17.25,23.48
City of London,female,5,13.63,23.24,15.86,22.09,23.19,28.11,19.79,15.81
City of London,female,6,18.04,12.8,18.98,17.1,23.74,21.41,29.38,20.12
City of London,female,7,24.3,12.91,12.03,20.88,16.42,22.8,18.4,27.34
City of London,female,8,19.15,16.58,11.03,14.43,17.4,19.98,22.25,16.03
City of London,female,9,10.97,19.94,14.74,10.47,14.5,18.45,18.04,22.36
City of London,female,10,11.76,12.06,22.41,17.55,10.65,13.4,20.69,18.51
City of London,female,11,11.6,17.38,10.68,17.39,16.65,11.72,13.8,21.09
City of London,female,12,15.49,12.53,19.95,8.46,17.03,15.55,12.78,14.33
City of London,female,13,16.31,16.28,11.48,20.67,10.87,16.97,15.36,13.32
City of London,female,14,13.49,15.61,15.27,11.2,18.83,10.39,17.71,18.53
City of London,female,15,17,11.49,9.61,17.27,20.2,19.83,16.39,17.71
City of London,female,16,19,16,8.49,14.61,21.27,22.2,25.83,22.39
City of London,female,17,13,27,7,8.49,32.61,22.27,34.2,34.83
City of London,female,18,28,15,18,8,16.49,35.61,27.27,30.2
City of London,female,19,19,33,14,25,15,20.49,22.61,37.27
City of London,female,20,36,7,27,10,28,22,22.49,48.61
City of London,female,21,32,36,0,29,14,41,28,36.49
City of London,female,22,44,7,30,7,48,44,51,42
City of London,female,23,79,28,0,47,40,82,56,102
City of London,female,24,79,67,29,0,69,63,107,95
City of London,female,25,60,61,46,28,7,79,75,142
City of London,female,26,91,47,43,35,23,21,92,95
City of London,female,27,92,62,26,40,36,26,34,110
City of London,female,28,78,82,27,29,43,43,39,44
City of London,female,29,85,56,56,22,33,42,49,31
City of London,female,30,73,67,51,26,16,37,44,57
City of London,female,31,64,63,55,45,28,0,49,47
City of London,female,32,72,47,62,42,44,34,1,57
City of London,female,33,53,53,17,49,51,42,28,0
City of London,female,34,77,48,43,17,44,42,38,36
City of London,female,35,53,64,36,36,25,40,42,40
City of London,female,36,67,45,54,40,41,18,46,43
City of London,female,37,38,55,34,49,39,51,21,46
City of London,female,38,44,35,51,38,50,35,47,25
City of London,female,39,45,39,34,49,38,49,37,43
City of London,female,40,60,38,32,31,48,41,49,43
City of London,female,41,55,64,33,22,33,50,34,47
City of London,female,42,37,53,57,24,26,36,49,38
City of London,female,43,49,37,53,55,34,29,41,49
City of London,female,44,45,51,25,58,46,43,34,49
City of London,female,45,56,36,57,27,61,52,36,44
City of London,female,46,54,54,27,61,33,60,53,41
City of London,female,47,47,51,52,30,64,40,67,49
City of London,female,48,46,44,50,56,32,71,43,75
City of London,female,49,44,48,41,45,54,33,72,40
City of London,female,50,36,45,41,39,47,61,35,74
City of London,female,51,35,35,51,47,42,50,59,41
City of London,female,52,34,29,31,53,48,44,49,59
City of London,female,53,34,38,28,34,59,46,47,51
City of London,female,54,32,32,40,29,39,58,46,46
City of London,female,55,41,31,29,37,37,38,60,53
City of London,female,56,55,44,35,34,36,38,42,58
City of London,female,57,40,56,44,31,43,35,35,47
City of London,female,58,40,39,54,46,35,45,34,36
City of London,female,59,42,40,38,53,46,39,48,38
City of London,female,60,36,41,35,37,53,44,40,46
City of London,female,61,44,40,43,37,41,54,44,39
City of London,female,62,50,44,43,48,38,42,58,40
City of London,female,63,56,51,44,46,49,36,44,63
City of London,female,64,43,55,51,48,45,50,36,44
City of London,female,65,19,42,57,51,48,44,47,35
City of London,female,66,36,17,38,59,50,52,41,46
City of London,female,67,33,32,16,45,61,56,53,42
