borough	sex,age,2011,2012,2013,2014,2015,2016,2017,2018
City of London,male,0,33.14,25.6,36.41,40.94,29.28,17.69,29.45,37.24
City of London,male,1,18.59,24.89,24.2,36.09,37.83,27.25,13.94,26.35
City of London,male,2,9.21,19.77,24.86,23.61,33.33,27.83,21.98,18.63
City of London,male,3,23.51,11.76,17.44,26.19,19.69,26.58,25.95,18.22
City of London,male,4,12.98,26.93,13.85,17.35,23.2,19.8,22.42,23.48
City of London,male,5,15.58,14.68,28.55,16.24,14.32,22.49,24.19,20.93
City of London,male,6,27.06,21.34,14.46,28.17,13.65,16.21,20.71,23.92
City of London,male,7,18.23,22.95,21.28,14.2,23.88,18.24,16.73,19.77
City of London,male,8,20.16,16.58,25,25.25,15.66,19.34,20.02,18.26
City of London,male,9,18.95,24.63,17.69,29.18,24.97,17.33,18.04,19.82
City of London,male,10,16.66,22.92,17.93,17.55,27.95,23.27,17.5,18.51
City of London,male,11,14.5,13.29,25.24,22.22,16.06,24.5,19.2,15.59
City of London,male,12,27.11,19.36,11.28,23.68,22.71,12.54,25.03,16.24
City of London,male,13,16.31,21.71,18.78,11.2,21.02,20.5,13.17,24.68
City of London,male,14,10.6,8.67,11.25,15.27,7.37,15.89,15.81,17.47
City of London,male,15,18,15.6,9.67,10.25,15.27,8.37,16.89,17.81
City of London,male,16,16,18,17.6,9.67,15.25,18.27,11.37,22.89
City of London,male,17,23,22,16,26.6,16.67,14.25,25.27,19.37
City of London,male,18,25,19,24,24,32.6,13.67,14.25,26.27
City of London,male,19,23,25,0,18,38,43.6,27.67,27.25
City of London,male,20,22,9,14,1,34,43,51.6,58.67
City of London,male,21,32,0,6,13,10,48,40,82.6
City of London,male,22,58,2,0,0,15,24,58,72
City of London,male,23,78,36,0,7,21,32,24,99
City of London,male,24,80,38,18,15,14,42,46,64
City of London,male,25,102,45,22,15,30,33,56,88
City of London,male,26,94,75,25,34,34,43,45,85
City of London,male,27,116,61,59,19,46,57,58,87
City of London,male,28,139,75,56,50,29,46,57,72
City of London,male,29,106,102,61,52,61,34,51,77
City of London,male,30,122,96,100,72,57,69,44,67
City of London,male,31,100,97,81,79,78,58,73,50
City of London,male,32,98,85,90,74,74,73,66,85
City of London,male,33,81,73,78,74,86,78,76,80
City of London,male,34,86,49,48,75,68,91,75,83
City of London,male,35,64,66,37,54,84,71,94,71
City of London,male,36,71,39,53,25,52,81,66,111
City of London,male,37,69,65,17,49,19,63,81,76
City of London,male,38,70,65,56,18,48,29,60,79
City of London,male,39,80,62,63,47,8,51,37,65
City of London,male,40,81,75,50,74,51,14,52,35
City of London,male,41,59,65,70,54,78,60,18,60
City of London,male,42,77,53,55,71,52,81,70,21
City of London,male,43,99,75,55,58,76,51,74,72
City of London,male,44,65,97,75,53,55,83,50,73
City of London,male,45,71,64,93,77,60,57,87,46
City of London,male,46,70,66,61,98,79,64,57,97
City of London,male,47,77,62,67,64,98,86,65,59
City of London,male,48,70,79,59,63,69,99,87,70
City of London,male,49,67,65,79,62,68,76,95,89
City of London,male,50,58,57,58,78,55,70,84,99
City of London,male,51,55,49,55,61,83,55,68,85
City of London,male,52,62,56,51,58,70,89,51,81
City of London,male,53,74,62,58,60,60,72,89,55
City of London,male,54,51,77,64,63,61,59,65,94
City of London,male,55,51,45,74,71,62,67,59,70
City of London,male,56,52,52,45,72,71,65,72,60
City of London,male,57,49,55,54,52,74,73,68,80
City of London,male,58,55,46,52,55,53,75,71,72
City of London,male,59,54,55,35,50,58,52,67,70
City of London,male,60,52,47,53,39,48,54,51,69
City of London,male,61,43,51,45,53,45,45,51,53
City of London,male,62,45,43,45,44,52,45,46,53
City of London,male,63,51,39,42,49,43,57,42,48
City of London,male,64,53,45,36,50,51,40,56,45
City of London,male,65,43,53,43,39,58,49,42,61
City of London,male,66,43,42,54,42,38,60,49,44
City of London,male,67,32,41,38,56,39,36,63,50
City of London,male,68,45,29,41,36,57,44,37,63
City of London,male,69,28,40,29,43,35,58,45,35
City of London,male,70,22,26,43,28,41,35,60,43
City of London,male,71,27,20,30,42,26,42,36,60
City of London,male,72,40,30,20,25,40,25,40,38
City of London,male,73,30,40,28,17,28,38,24,40
City of London,male,74,26,26,39,27,18,27,38,22
City of London,male,75,22,26,29,38,26,19,28,40
City of London,male,76,15,21,26,30,36,30,21,31
City of London,male,77,10,14,19,26,30,36,31,23
City of London,male,78,14,10,14,16,25,31,37,31
City of London,male,79,15,17,10,14,16,24,27,33
City of London,male,80,21,14,17,11,14,12,23,26
City of London,male,81,10,19,13,18,8,15,12,20
City of London,male,82,15,10,14,10,15,7,14,11
City of London,male,83,22,16,10,14,12,15,6,14
City of London,male,84,10,19,16,11,18,12,13,6
City of London,male,85,11,9,18,16,11,17,12,13
City of London,male,86,9,11,9,18,15,11,15,12
City of London,male,87,2,10,11,9,17,15,10,13
City of London,male,88,1,1,10,12,9,14,15,10
City of London,male,89,1,1,0,6,11,9,14,14
City of London,male,90,22,20,19,17,20,31,33,44
Barking and Dagenham,male,0,1925.06,1839.98,1987.56,1803.18,1738.67,1961.91,1918.37,1876.88
Barking and Dagenham,male,1,1984.52,1883.87,1970.48,1999.26,1853.38,1768.77,1959.24,1930.99
Barking and Dagenham,male,2,1923.22,1914.02,1907.1,2006.68,2037.02,1931.47,1795.96,1976.63
